0,1,2
31,49,1
34,55,1
41,38,1
34,50,1
33,48,1
33,56,1
37,53,1
31,50,1
31,50,1
31,54,1
34,48,1
29,55,1
36,47,1
33,53,1
34,53,1
25,59,1
35,46,1
35,55,1
34,48,1
40,48,1
33,55,1
38,48,1
35,51,1
32,54,1
32,53,1
35,53,1
41,43,1
36,46,1
40,52,1
41,48,1
42,42,1
36,52,1
34,55,1
36,47,1
31,53,1
38,42,1
40,47,1
36,52,1
37,48,1
32,52,1
31,51,1
36,48,1
41,46,1
37,48,1
34,53,1
32,53,1
37,48,1
39,39,1
39,42,1
31,50,1
40,51,1
38,50,1
39,45,1
38,45,1
27,50,1
34,52,1
34,44,1
33,49,1
34,51,1
27,57,1
40,46,1
37,54,1
32,55,1
26,54,1
36,45,1
34,45,1
32,52,1
39,41,1
35,53,1
33,65,1
31,50,1
45,41,1
38,45,1
37,47,1
31,55,1
33,47,1
41,41,1
39,54,1
37,53,1
35,45,1
38,44,1
24,58,1
29,52,1
32,55,1
36,49,1
39,48,1
34,45,1
41,45,1
28,57,1
36,50,1
30,56,1
39,51,1
37,55,1
31,48,1
45,48,1
27,57,1
40,52,1
38,43,1
31,52,1
35,50,1
36,54,2
39,60,2
46,43,2
39,55,2
38,53,2
38,61,2
42,58,2
36,55,2
36,55,2
36,59,2
39,53,2
34,60,2
41,52,2
38,58,2
39,58,2
30,64,2
40,51,2
40,60,2
39,53,2
45,53,2
38,60,2
43,53,2
40,56,2
37,59,2
37,58,2
40,58,2
46,48,2
41,51,2
45,57,2
46,53,2
47,47,2
41,57,2
39,60,2
41,52,2
36,58,2
43,47,2
45,52,2
41,57,2
42,53,2
37,57,2
36,56,2
41,53,2
46,51,2
42,53,2
39,58,2
37,58,2
42,53,2
44,44,2
44,47,2
36,55,2
45,56,2
43,55,2
44,50,2
43,50,2
32,55,2
39,57,2
39,49,2
38,54,2
39,56,2
32,62,2
45,51,2
42,59,2
37,60,2
31,59,2
41,50,2
39,50,2
37,57,2
44,46,2
40,58,2
38,70,2
36,55,2
50,46,2
43,50,2
42,52,2
36,60,2
38,52,2
46,46,2
44,59,2
42,58,2
40,50,2
43,49,2
29,63,2
34,57,2
37,60,2
41,54,2
44,53,2
39,50,2
46,50,2
33,62,2
41,55,2
35,61,2
44,56,2
42,60,2
36,53,2
50,53,2
32,62,2
45,57,2
43,48,2
36,57,2
40,55,2
21,44,3
24,50,3
31,33,3
24,45,3
23,43,3
23,51,3
27,48,3
21,45,3
21,45,3
21,49,3
24,43,3
19,50,3
26,42,3
23,48,3
24,48,3
15,54,3
25,41,3
25,50,3
24,43,3
30,43,3
23,50,3
28,43,3
25,46,3
22,49,3
22,48,3
25,48,3
31,38,3
26,41,3
30,47,3
31,43,3
32,37,3
26,47,3
24,50,3
26,42,3
21,48,3
28,37,3
30,42,3
26,47,3
27,43,3
22,47,3
21,46,3
26,43,3
31,41,3
27,43,3
24,48,3
22,48,3
27,43,3
29,34,3
29,37,3
21,45,3
30,46,3
28,45,3
29,40,3
28,40,3
17,45,3
24,47,3
24,39,3
23,44,3
24,46,3
17,52,3
30,41,3
27,49,3
22,50,3
16,49,3
26,40,3
24,40,3
22,47,3
29,36,3
25,48,3
23,60,3
21,45,3
35,36,3
28,40,3
27,42,3
21,50,3
23,42,3
31,36,3
29,49,3
27,48,3
25,40,3
28,39,3
14,53,3
19,47,3
22,50,3
26,44,3
29,43,3
24,40,3
31,40,3
18,52,3
26,45,3
20,51,3
29,46,3
27,50,3
21,43,3
35,43,3
17,52,3
30,47,3
28,38,3
21,47,3
25,45,3
16,39,4
19,45,4
26,28,4
19,40,4
18,38,4
18,46,4
22,43,4
16,40,4
16,40,4
16,44,4
19,38,4
14,45,4
21,37,4
18,43,4
19,43,4
10,49,4
20,36,4
20,45,4
19,38,4
25,38,4
18,45,4
23,38,4
20,41,4
17,44,4
17,43,4
20,43,4
26,33,4
21,36,4
25,42,4
26,38,4
27,32,4
21,42,4
19,45,4
21,37,4
16,43,4
23,32,4
25,37,4
21,42,4
22,38,4
17,42,4
16,41,4
21,38,4
26,36,4
22,38,4
19,43,4
17,43,4
22,38,4
24,29,4
24,32,4
16,40,4
25,41,4
23,40,4
24,35,4
23,35,4
12,40,4
19,42,4
19,34,4
18,39,4
19,41,4
12,47,4
25,36,4
22,44,4
17,45,4
11,44,4
21,35,4
19,35,4
17,42,4
24,31,4
20,43,4
18,55,4
16,40,4
30,31,4
23,35,4
22,37,4
16,45,4
18,37,4
26,31,4
24,44,4
22,43,4
20,35,4
23,34,4
9,48,4
14,42,4
17,45,4
21,39,4
24,38,4
19,35,4
26,35,4
13,47,4
21,40,4
15,46,4
24,41,4
22,45,4
16,38,4
30,38,4
12,47,4
25,42,4
23,33,4
16,42,4
20,40,4
